,Score,Close,Accuracy,Accuracy %,Error,Square,Average,RMS
73,5019.75,9136.4,0.549423186,54.94231864,-4116.65,16946807.22,,
74,5016.35,9119.4,0.550074566,55.00745663,-4103.05,16835019.3,,
75,5016.35,9217.95,0.544193666,54.41936656,-4201.6,17653442.56,,
76,5015.75,9306.6,0.53894548,53.89454796,-4290.85,18411393.72,,
77,5015.75,9351.85,0.53633773,53.633773,-4336.1,18801763.21,,
78,5013.6,9342.15,0.536664472,53.66644723,-4328.55,18736345.1,,
79,5013.6,9304.05,0.538862108,53.88621084,-4290.45,18407961.2,,
80,5011.05,9313.8,0.538024222,53.80242221,-4302.75,18513657.56,,
81,5011.05,9311.95,0.538131111,53.81311111,-4300.9,18497740.81,,
82,5006.85,9359.9,0.534925587,53.49255868,-4353.05,18949044.3,,
83,5002.55,9285.3,0.538760191,53.87601908,-4282.75,18341947.56,,
84,5002.55,9314.05,0.537097181,53.70971811,-4311.5,18589032.25,,
85,5000.7,9316.85,0.536737202,53.6737202,-4316.15,18629150.82,,
86,5000.7,9407.3,0.531576542,53.15765416,-4406.6,19418123.56,,
87,5000,9422.4,0.530650365,53.06503651,-4422.4,19557621.76,,
88,5000,9400.9,0.53186397,53.18639705,-4400.9,19367920.81,,
89,5000,9445.4,0.529358206,52.93582061,-4445.4,19761581.16,,
90,5000,9512.25,0.525637993,52.56379931,-4512.25,20360400.06,,
91,5000,9525.75,0.524893053,52.4893053,-4525.75,20482413.06,,
92,5000,9429.45,0.53025362,53.02536203,-4429.45,19620027.3,,
93,5000,9427.9,0.530340797,53.0340797,-4427.9,19606298.41,,
94,5000,9438.25,0.529759224,52.97592244,-4438.25,19698063.06,,
95,5000,9386.15,0.532699776,53.26997757,-4386.15,19238311.82,,
96,5000,9360.55,0.534156647,53.41566468,-4360.55,19014396.3,,
97,5000,9509.75,0.525776177,52.57761771,-4509.75,20337845.06,,
98,5000,9595.1,0.521099311,52.10993111,-4595.1,21114944.01,,
99,5000,9604.9,0.520567627,52.05676269,-4604.9,21205104.01,,
100,5000,9624.55,0.519504808,51.9504808,-4624.55,21386462.7,,
101,5000,9621.25,0.519682993,51.96829934,-4621.25,21355951.56,,
102,5000,9616.1,0.519961315,51.99613149,-4616.1,21308379.21,,
103,5000,9653.5,0.517946859,51.79468587,-4653.5,21655062.25,,
104,5000,9675.1,0.516790524,51.67905241,-4675.1,21856560.01,,
105,5000,9637.15,0.518825586,51.88255864,-4637.15,21503160.12,,
106,5000,9663.9,0.51738946,51.73894597,-4663.9,21751963.21,,
107,5000,9647.25,0.518282412,51.82824121,-4647.25,21596932.56,,
108,5000,9668.25,0.517156673,51.71566726,-4668.25,21792558.06,,
109,5000,9616.4,0.519945094,51.99450938,-4616.4,21311148.96,,
110,5000,9606.9,0.520459253,52.04592532,-4606.9,21223527.61,,
111,5000,9618.15,0.519850491,51.9850491,-4618.15,21327309.42,,
112,5000,9578.05,0.522026926,52.20269261,-4578.05,20958541.8,,
113,5000,9588.05,0.52148247,52.14824704,-4588.05,21050202.8,,
114,5000,9657.55,0.517729652,51.77296519,-4657.55,21692772,,
115,5000,9653.5,0.517946859,51.79468587,-4653.5,21655062.25,,
116,5000,9633.6,0.519016775,51.90167746,-4633.6,21470248.96,,
117,5000,9630,0.5192108,51.92107996,-4630,21436900,,
118,5000,9574.95,0.522195938,52.21959384,-4574.95,20930167.5,,
119,5000,9511.4,0.525684968,52.56849675,-4511.4,20352729.96,,
120,5000,9491.25,0.526801001,52.68010009,-4491.25,20171326.56,,
121,5000,9504.1,0.526088741,52.60887406,-4504.1,20286916.81,,
122,5000,9520.9,0.525160437,52.51604365,-4520.9,20438536.81,,
123,5000,9615,0.520020801,52.00208008,-4615,21298225,,
124,5000,9613.3,0.52011276,52.01127604,-4613.3,21282536.89,,
125,4997.8,9637.6,0.518573089,51.85730887,-4639.8,21527744.04,,
126,4997.8,9674.55,0.516592503,51.6592503,-4676.75,21871990.56,,
127,4997.45,9665.8,0.51702394,51.70239401,-4668.35,21793491.72,,
128,4997.45,9771.05,0.511454757,51.14547567,-4773.6,22787256.96,,
129,4993.25,9786.05,0.510241619,51.02416194,-4792.8,22970931.84,,
130,4983.7,9816.1,0.507706727,50.77067267,-4832.4,23352089.76,,
131,4983.7,9891.7,0.50382644,50.38264403,-4908,24088464,,
132,4977.85,9886.35,0.503507361,50.35073612,-4908.5,24093372.25,,
133,4977.85,9915.95,0.502004347,50.20043465,-4938.1,24384831.61,,
134,4975.35,9827.15,0.506286156,50.62861562,-4851.8,23539963.24,,
135,4971.3,9899.6,0.502171805,50.21718049,-4928.3,24288140.89,,
136,4971.3,9873.3,0.503509465,50.35094649,-4902,24029604,,
137,4966.7,9915.25,0.500915257,50.09152568,-4948.55,24488147.1,,
138,4966.7,9966.4,0.498344437,49.83444373,-4999.7,24997000.09,,
139,4966.6,9964.55,0.498426923,49.84269234,-4997.95,24979504.2,,
140,4966.6,10020.65,0.495636511,49.56365106,-5054.05,25543421.4,,
141,4961.8,10020.55,0.495162441,49.51624412,-5058.75,25590951.56,,
142,4959.35,10014.5,0.495216935,49.52169354,-5055.15,25554541.52,,
143,4958.9,10077.1,0.49209594,49.20959403,-5118.2,26195971.24,,
144,4958.9,10114.65,0.490269065,49.02690652,-5155.75,26581758.06,,
145,4958.9,10081.5,0.491881168,49.18811685,-5122.6,26241030.76,,
146,4958.9,10013.65,0.495214033,49.52140328,-5054.75,25550497.56,,
147,4958.9,10066.4,0.49261901,49.26190098,-5107.5,26086556.25,,
148,4956.9,10057.4,0.492860978,49.2860978,-5100.5,26015100.25,,
149,4956.9,9978.55,0.496755541,49.67555406,-5021.65,25216968.72,,
150,4954.8,9908.05,0.500078219,50.00782192,-4953.25,24534685.56,,
151,4954.8,9820.25,0.504549273,50.45492732,-4865.45,23672603.7,,
152,4954.55,9710.8,0.510210281,51.02102813,-4756.25,22621914.06,,
153,4954.55,9794.15,0.505868299,50.58682989,-4839.6,23421728.16,,
154,4954.55,9897.3,0.500596122,50.05961222,-4942.75,24430777.56,,
155,4952.8,9904.15,0.500073202,50.00732016,-4951.35,24515866.82,,
156,4952.8,9837.4,0.503466363,50.34663631,-4884.6,23859317.16,,
157,4950.25,9754.35,0.507491529,50.74915294,-4804.1,23079376.81,,
158,4949.8,9765.55,0.506863413,50.68634127,-4815.75,23191448.06,,
159,4945.15,9852.5,0.501918295,50.19182948,-4907.35,24082084.02,,
160,4945.15,9857.05,0.50168661,50.16866101,-4911.9,24126761.61,,
161,4943.35,9912.8,0.49868352,49.86835203,-4969.45,24695433.3,,
162,4941.45,9796.05,0.504432909,50.44329092,-4854.6,23567141.16,,
163,4938.15,9884.4,0.499590263,49.95902634,-4946.25,24465389.06,,
164,4932.1,9917.9,0.497292774,49.72927737,-4985.8,24858201.64,,
165,4932.1,9974.4,0.494475858,49.44758582,-5042.3,25424789.29,,
166,4923.65,9912.85,0.496693685,49.66936855,-4989.2,24892116.64,,
167,4923.65,9952.2,0.494729808,49.47298085,-5028.55,25286315.1,,
168,4923.2,9916.2,0.496480507,49.64805066,-4993,24930049,,
169,4923.2,9929.9,0.495795527,49.57955266,-5006.7,25067044.89,,
170,4917.15,9934.8,0.494942022,49.4942022,-5017.65,25176811.52,,
171,4917.15,10006.05,0.491417692,49.14176923,-5088.9,25896903.21,,
172,4908,10093.05,0.486275209,48.62752092,-5185.05,26884743.5,,
173,4908,10079.3,0.486938577,48.69385771,-5171.3,26742343.69,,
174,4907.35,10086.6,0.486521722,48.65217219,-5179.25,26824630.56,,
175,4907.3,10085.4,0.486574652,48.65746525,-5178.1,26812719.61,,
176,4907.3,10153.1,0.483330214,48.33302144,-5245.8,27518417.64,,
177,4889.65,10147.55,0.481855226,48.18552261,-5257.9,27645512.41,,
178,4873.4,10141.15,0.480556939,48.05569388,-5267.75,27749190.06,,
179,4873.4,10121.9,0.48147087,48.14708701,-5248.5,27546752.25,,
180,4867.45,9964.4,0.488484003,48.84840031,-5096.95,25978899.3,,
181,4864.95,9872.6,0.492772927,49.27729271,-5007.65,25076558.52,,
182,4851.6,9871.5,0.49147546,49.14754597,-5019.9,25199396.01,,
183,4851.6,9735.75,0.498328326,49.8328326,-4884.15,23854921.22,,
184,4847.9,9768.95,0.496255995,49.62559948,-4921.05,24216733.1,,
185,4847.5,9788.6,0.495218928,49.52189281,-4941.1,24414469.21,,
186,4837.95,9859.5,0.490689183,49.0689183,-5021.55,25215964.4,,
187,4832.05,9914.9,0.487352369,48.73523687,-5082.85,25835364.12,,
188,4810.6,9888.7,0.486474461,48.64744607,-5078.1,25787099.61,,
189,4810.6,9979.7,0.482038538,48.20385382,-5169.1,26719594.81,,
190,4790.35,9988.75,0.479574521,47.95745213,-5198.4,27023362.56,,
191,4769.85,10016.95,0.476177878,47.61778785,-5247.1,27532058.41,,
192,4763.25,9984.8,0.477050116,47.70501162,-5221.55,27264584.4,,
193,4734.7,10096.4,0.468949328,46.89493285,-5361.7,28747826.89,,
194,4656.7,10167.45,0.458000777,45.8000777,-5510.75,30368365.56,,
195,4656.7,10230.85,0.455162572,45.5162572,-5574.15,31071148.22,,
196,4520.7,10234.45,0.441714015,44.17140149,-5713.75,32646939.06,,
197,4479.05,10210.85,0.43865594,43.86559395,-5731.8,32853531.24,,
198,4346.25,10146.55,0.428347566,42.83475664,-5800.3,33643480.09,,
