Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
06-Jul-07,4353.1,4411,4304,4384.85,84077477,4758.87
09-Jul-07,4385.45,4427.55,4385.45,4419.4,60169572,3581.93
10-Jul-07,4419.1,4434.45,4393,4406.05,73279845,4044.41
11-Jul-07,4403.8,4411.45,4344.7,4387.15,78074214,4247.71
12-Jul-07,4388.05,4451.95,4387.05,4446.15,94804490,4608.37
13-Jul-07,4446.4,4513.9,4446.05,4504.55,126861025,6299.18
16-Jul-07,4505.95,4521.85,4495.95,4512.15,102224299,4647.83
17-Jul-07,4497.1,4550.25,4488.25,4496.75,99221022,4753.39
18-Jul-07,4498.65,4510.8,4452.85,4499.55,78605118,3999.76
19-Jul-07,4500.35,4573,4496.2,4562.1,84358586,5026.26
20-Jul-07,4563.75,4600.8,4553.8,4566.05,90691447,5464.2
23-Jul-07,4564.25,4628.45,4547.2,4619.35,78303529,4644.71
24-Jul-07,4620.05,4647.95,4609.75,4620.75,82215745,4981.93
25-Jul-07,4620.5,4620.5,4555.8,4588.7,108683665,5402.74
26-Jul-07,4593.1,4624.3,4570.8,4619.8,129054845,7239.43
27-Jul-07,4618.65,4618.9,4424.25,4445.2,137904339,8019.26
30-Jul-07,4442.35,4493.05,4403.7,4440.05,95133545,5036.25
31-Jul-07,4444.25,4534.2,4432.85,4528.85,84428945,5354.43
01-Aug-07,4528.85,4532.9,4339.75,4345.85,104901731,6263.7
02-Aug-07,4356.35,4399.75,4327,4356.35,71160531,4247.18
03-Aug-07,4355.75,4428.1,4355.75,4401.55,63323143,3527.53
06-Aug-07,4404.05,4404.05,4267.15,4339.5,64266652,3947.46
07-Aug-07,4341.5,4406.4,4341.5,4356.35,62908203,3906.74
08-Aug-07,4357,4472.15,4356.75,4462.1,68516647,4576.75
09-Aug-07,4462.25,4530.05,4390.8,4403.2,79104231,4675.71
10-Aug-07,4393.6,4395.5,4239.2,4333.35,83430243,4970.07
13-Aug-07,4324.65,4383.8,4324.65,4373.65,49978808,2859.35
